url,name,nationality,weight,height,one_day,gc,tt,sprint,climber,hills
https://www.procyclingstats.com/rider/alan-lezaun-perez,Alan  Pérez,Spain, 66 kg   , 1.75 m,129,220,15,8,74,310
https://www.procyclingstats.com/rider/raul-alarcon,Raúl  Alarcón,Spain, 72 kg   , 1.89 m,52,244,196,22,241,206
https://www.procyclingstats.com/rider/luca-jenni,Luca  Jenni,Switzerland,, 1.81 m,0,14,2,0,4,4
https://www.procyclingstats.com/rider/jonathan-patrick-mccarty,Jonathan Patrick  McCarty,United States, 68 kg   , 1.78 m,114,167,21,0,44,12
https://www.procyclingstats.com/rider/alex-tolio,Alex  Tolio,Italy,,,50,100,5,1,96,60
https://www.procyclingstats.com/rider/alexander-cowan,Alexander  Cowan,Canada,,,1,12,118,39,4,38
https://www.procyclingstats.com/rider/lukas-ruegg,Lukas  Rüegg,Switzerland, 66 kg   , 1.77 m,99,77,52,72,45,165
https://www.procyclingstats.com/rider/fredrik-strand-galta,Fredrik Strand  Galta,Norway, 78 kg   , 1.92 m,37,109,2,0,16,34
https://www.procyclingstats.com/rider/ivan-romeo,Iván  Romeo,Spain, 75 kg   , 1.93 m,146,98,194,55,16,36
https://www.procyclingstats.com/rider/tom-leezer,Tom  Leezer,Netherlands, 76 kg   , 1.85 m,776,610,101,20,19,10
https://www.procyclingstats.com/rider/florian-stork,Florian  Stork,Germany, 65.1 kg   , 1.85 m,112,210,13,12,91,76
https://www.procyclingstats.com/rider/jacques-janse-van-rensburg,Jacques  Janse van Rensburg,South Africa, 63 kg   , 1.75 m,200,515,12,8,226,146
https://www.procyclingstats.com/rider/erlend-blikra,Erlend  Blikra,Norway, 75 kg   , 1.86 m,218,3,36,618,0,82
https://www.procyclingstats.com/rider/bradley-white,Bradley  White,United States, 77 kg   , 1.80 m,5,2,56,0,0,0
https://www.procyclingstats.com/rider/otto-vergaerde,Otto  Vergaerde,Belgium, 74 kg   , 1.81 m,209,147,12,60,18,71
https://www.procyclingstats.com/rider/julien-trarieux,Julien  Trarieux,France, 71 kg   , 1.83 m,170,138,38,114,39,224
https://www.procyclingstats.com/rider/michael-rodriguez,Michael  Rodriguez,Colombia,,,0,15,36,2,6,35
https://www.procyclingstats.com/rider/marc-hirschi,Marc  Hirschi,Switzerland, 61 kg   , 1.74 m,4722,1417,334,75,2072,2172
https://www.procyclingstats.com/rider/attilio-viviani,Attilio  Viviani,Italy, 69 kg   , 1.74 m,130,75,0,664,6,75
https://www.procyclingstats.com/rider/stephane-bonsergent,Stéphane  Bonsergent,France, 66 kg   , 1.74 m,444,31,4,0,4,0
https://www.procyclingstats.com/rider/alberto-contoli,Alberto  Contoli,Italy,,,10,11,0,0,5,0
https://www.procyclingstats.com/rider/michael-storer,Michael  Storer,Australia, 63 kg   , 1.74 m,527,1377,121,165,1324,396
https://www.procyclingstats.com/rider/stian-fredheim,Stian  Fredheim,Norway, 72 kg   , 1.84 m,171,20,0,224,1,51
https://www.procyclingstats.com/rider/carter-jones,Carter  Jones,United States, 64 kg   , 1.83 m,0,243,118,0,76,0
https://www.procyclingstats.com/rider/leonard-peloquin,Leonard  Peloquin,Canada, 67 kg   , 1.63 m,1,0,0,5,0,0
https://www.procyclingstats.com/rider/reinier-honig,Reinier  Honig,Netherlands, 61 kg   , 1.76 m,525,171,22,16,22,29
https://www.procyclingstats.com/rider/elia-favilli,Elia  Favilli,Italy, 61 kg   , 1.72 m,368,190,30,33,98,250
https://www.procyclingstats.com/rider/axel-mariault,Axel  Mariault,France, 58 kg   , 1.69 m,151,111,0,4,68,252
https://www.procyclingstats.com/rider/mikel-aristi,Mikel  Aristi,Spain, 72 kg   , 1.80 m,169,53,93,277,35,212
https://www.procyclingstats.com/rider/fabio-sabatini,Fabio  Sabatini,Italy, 74 kg   , 1.87 m,506,578,87,284,61,285
https://www.procyclingstats.com/rider/jeremy-cornu,Jérémy  Cornu,France, 66 kg   , 1.78 m,44,31,2,2,4,31
https://www.procyclingstats.com/rider/francesco-failli,Francesco  Failli,Italy, 65 kg   , 1.81 m,787,403,2,0,162,12
https://www.procyclingstats.com/rider/vincenzo-nibali,Vincenzo  Nibali,Italy, 65 kg   , 1.81 m,4763,9872,3781,274,9274,2889
https://www.procyclingstats.com/rider/rafael-reis,Rafael  Reis,Portugal, 72 kg   , 1.89 m,4,92,1259,25,62,188
https://www.procyclingstats.com/rider/danny-van-der-tuuk,Danny van der Tuuk,Poland, 64 kg   , 1.80 m,10,0,29,6,4,3
https://www.procyclingstats.com/rider/mateusz-kostanski,Mateusz  Kostański,Poland, 78 kg   , 1.90 m,5,29,26,36,5,10
https://www.procyclingstats.com/rider/pirmin-lang,Pirmin  Lang,Switzerland, 73 kg   , 1.83 m,133,63,21,0,6,0
https://www.procyclingstats.com/rider/ezequiel-mosquera-miguez,Ezequiel  Mosquera,Spain, 65 kg   , 1.77 m,205,1663,394,2,1303,216
https://www.procyclingstats.com/rider/matteo-sobrero,Matteo  Sobrero,Italy, 63 kg   , 1.77 m,242,510,1197,47,490,668
https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas,Brandon Smith  Rivera,Colombia, 60 kg   , 1.70 m,47,392,240,21,134,168
https://www.procyclingstats.com/rider/luca-paolini,Luca  Paolini,Italy, 66 kg   , 1.74 m,5778,666,77,673,635,910
https://www.procyclingstats.com/rider/miguel-eduardo-florez,Miguel Eduardo  Flórez,Colombia, 57 kg   , 1.74 m,62,195,0,12,127,98
https://www.procyclingstats.com/rider/gregor-muhlberger,Gregor  Mühlberger,Austria, 64 kg   , 1.80 m,838,791,239,74,931,454
https://www.procyclingstats.com/rider/rory-sutherland,Rory  Sutherland,Australia, 75 kg   , 1.88 m,404,1045,768,46,224,114
https://www.procyclingstats.com/rider/daniel-savini,Daniel  Savini,Italy, 58 kg   , 1.70 m,112,21,0,9,21,86
https://www.procyclingstats.com/rider/bram-welten,Bram  Welten,Netherlands, 81 kg   , 1.88 m,1047,45,0,819,0,118
https://www.procyclingstats.com/rider/jose-rodolfo-serpa,José Rodolfo  Serpa,Colombia, 64 kg   , 1.78 m,559,1794,691,2,788,187
https://www.procyclingstats.com/rider/anders-lund-1,Anders  Lund,Denmark, 65 kg   , 1.67 m,274,336,3,7,100,82
https://www.procyclingstats.com/rider/daryl-impey,Daryl  Impey,South Africa, 72 kg   , 1.81 m,1745,1893,1031,285,1123,2818
https://www.procyclingstats.com/rider/gianni-moscon,Gianni  Moscon,Italy, 71 kg   , 1.80 m,1903,937,606,230,822,760
https://www.procyclingstats.com/rider/jacob-hindsgaul-madsen,Jacob  Hindsgaul,Denmark, 67 kg   , 1.90 m,25,209,64,28,42,64
https://www.procyclingstats.com/rider/peter-wrolich,Peter  Wrolich,Austria, 68 kg   , 1.79 m,1250,471,34,185,82,124
